No,kelas,kategori,target_bulan,materi,Note
,SMP 1,Hafalan Surat Al Qur'an,September - Oktober,3 Ayat terakhir al Hasyr,
,SMP 1,Baca Huruf Quran,Juli,Al Quran Juz 12,Yang Dipakai
,SMP 1,Baca Huruf Quran,Agustus,Al Quran Juz12,
,SMA 1,Materi Dasar Keagamaan,Juni,Aurat,
,SMA 2,Materi Dasar Keagamaan,Juni,Aurat,
,SMA 3,Materi Dasar Keagamaan,Juni,Aurat,
,Pra Nikah 1,Materi Dasar Keagamaan,Juni,Aurat,
,Pra Nikah 2,Materi Dasar Keagamaan,Juni,Aurat,
,Pra Nikah 3,Materi Dasar Keagamaan,Juni,Aurat,
,Pra Nikah 4,Materi Dasar Keagamaan,Juni,Aurat,
,SMP 1,Materi Dasar Keagamaan,Juni,Aurot,Yang Dipakai
,SMP 2,Materi Dasar Keagamaan,Juni,Aurot,Yang Dipakai
,SMP 3,Materi Dasar Keagamaan,Juni,Aurot,Yang Dipakai
,Pra Nikah 1,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,Pra Nikah 2,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,Pra Nikah 3,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,Pra Nikah 4,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,SMA 1,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,SMA 2,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,SMA 3,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi",
,SMP 1,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi",Yang Dipakai
,SMP 2,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi",Yang Dipakai
,SMP 3,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi",Yang Dipakai
,SMA 1,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,SMA 2,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,SMA 3,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,Pra Nikah 1,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,Pra Nikah 2,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,Pra Nikah 3,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,Pra Nikah 4,Materi Dasar Keagamaan,Mei,Hukum Mahram,
,SMP 1,Materi Dasar Keagamaan,April,hukum mahrom,Yang Dipakai
,SMP 2,Materi Dasar Keagamaan,April,hukum mahrom,Yang Dipakai
,SMP 3,Materi Dasar Keagamaan,April,hukum mahrom,Yang Dipakai
,Pra Nikah 1,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,Pra Nikah 2,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,Pra Nikah 3,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,Pra Nikah 4,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,SMA 1,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,SMA 2,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,SMA 3,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil",
,SMP 1,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil",Yang Dipakai
,SMP 2,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil",Yang Dipakai
,SMP 3,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil",Yang Dipakai
,Pra Nikah 1,Tulis Huruf Arab,Juli - Oktober,Juz 1 – 2,
,SMA 2,Tulis Huruf Arab,Januari,Juz 11,
,SMA 2,Tulis Huruf Arab,Februari - Maret,Juz 12,
,SMA 3,Tulis Huruf Arab,Januari,Juz 14,
,SMA 3,Tulis Huruf Arab,Februari - Maret,Juz 15,
,Pra Nikah 1,Tulis Huruf Arab,Januari - April,Juz 2 – 3,
,SMP 2,Tulis Huruf Arab,Januari - Maret,Juz 26,
,SMP 3,Tulis Huruf Arab,Januari - Februari,Juz 29,
,SMP 3,Tulis Huruf Arab,Maret - April,Juz 30,
,Pra Nikah 2,Tulis Huruf Arab,Juli - Oktober,Juz 4-5,
,Pra Nikah 2,Tulis Huruf Arab,Januari - Februari,Juz 5-6,
,SMA 1,Tulis Huruf Arab,Januari,Juz 8,
,SMA 1,Tulis Huruf Arab,Februari - Maret,Juz 9,
,SMA 2,Tulis Huruf Arab,April,Juz12,
,SMA 3,Tulis Huruf Arab,April,Juz15,
,Pra Nikah 2,Tulis Huruf Arab,Maret - April,K. Kanzil Umal (90 - 116),
,Pra Nikah 2,Tulis Huruf Arab,November - Desember,K. Kanzil Ummal (1-90),
,SMA 2,Tulis Huruf Arab,Juli,Makna Juz 10,
,SMA 2,Tulis Huruf Arab,Agustus,Makna Juz10,
,SMA 3,Tulis Huruf Arab,Agustus,Makna Juz13,
,Pra Nikah 1,Materi Dasar Keagamaan,Januari,Mandi Junub,
,Pra Nikah 2,Materi Dasar Keagamaan,Januari,Mandi Junub,
,Pra Nikah 3,Materi Dasar Keagamaan,Januari,Mandi Junub,
,Pra Nikah 4,Materi Dasar Keagamaan,Januari,Mandi Junub,
,SMA 1,Materi Dasar Keagamaan,Januari,Mandi Junub,
,SMA 2,Materi Dasar Keagamaan,Januari,Mandi Junub,
,SMA 3,Materi Dasar Keagamaan,Januari,Mandi Junub,
,SMP 1,Materi Dasar Keagamaan,Desember,mandi junub,Yang Dipakai
,SMP 2,Materi Dasar Keagamaan,Desember,mandi junub,Yang Dipakai
,SMP 3,Materi Dasar Keagamaan,Desember,mandi junub,Yang Dipakai
,Pra Nikah 2,Hafalan Surat Al Qur'an,Juli - Desember,Menderes 1. Surah Al-Bayyinah 2. Surah Al-Qadr 3. Surah Al-'Alaq 4. Surah At-Tin 5. Surah Al-Insyirah 6. Surah Ad-Duha 7. Surah Al-Lail,
,Pra Nikah 2,Hafalan Surat Al Qur'an,Januari - Juni,Menderes 1. Surah Asy-Syams 2. Surah Al-Balad 3. Surah Al-Fajr 4. Surah Al-Gasyiyah,
,Pra Nikah 3,Baca Huruf Quran,Juli - Desember,Menderes jus 27 - 28,
,Pra Nikah 4,Baca Huruf Quran,Juli - Desember,Menderes juz 1 – 2,
,Pra Nikah 1,Baca Huruf Quran,Juli - Desember,Menderes Juz 19-20,
,Pra Nikah 1,Baca Huruf Quran,Januari - Juni,Menderes Juz 21-22,
,Pra Nikah 2,Baca Huruf Quran,Juli - Desember,Menderes Juz 23-24,
,Pra Nikah 2,Baca Huruf Quran,Januari - Juni,Menderes Juz 25-26,
,Pra Nikah 3,Baca Huruf Quran,Januari - Juni,Menderes Juz 29 – 30,
,Pra Nikah 4,Baca Huruf Quran,Januari - Juni,Menderes juz 3 - 4,
,Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: 1. Surah Al-A’la 2. Surah At-Tariq 3. Surah Al-Buruj 4. Surah Al-Insyiqaq,
,Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah Al-Fil 2. Surah Al-Humazah 3. Surah Al-'Asr 4. At-Takasur 5. Surah Al-Qari'ah 6. Al-'Adiyat 7. Surah Az-Zalzalah,
,Pra Nikah 3,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah Al-Tatfif 2. Surah Al-Infitar,
,Pra Nikah 4,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah An-Nazi’at 2. Surah An-Naba’,
,Pra Nikah 4,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: 1. Surah At-Takwir 2. Surah 'Abasa,
,Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: Surah An-Nas 1. Surah Al-Falaq 2. Surah Al-Ikhlas 3. Surah Al-Lahab 4. Surah An-Nasr 5. Al-Kafirun 6. Surah Al-Kausar 7. Surah Al-Ma’un 8. Surah Quraisy,
,SMP 1,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah,
,SMP 2,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah,
,SMP 3,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah,
,Pra Nikah 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,Pra Nikah 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,Pra Nikah 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,Pra Nikah 4,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,SMA 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,SMA 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,SMA 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah,Yang Dipakai
,SMP 1,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom,Yang Dipakai
,SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom,Yang Dipakai
,SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom,Yang Dipakai
,SMA 1,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,
,SMA 2,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,
,SMA 3,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,
,Pra Nikah 1,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,
,Pra Nikah 2,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,
,Pra Nikah 3,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,
,Pra Nikah 4,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram,